title,brand,price/currency,price/value,stars,reviewsCount,StarsCategory
"Ray-Ban RB4253 Square Sunglasses, Black/Light Grey Gradient Dark Grey, 53 mm",Ray-Ban,$,20.997259999999997,4.4,43.0,2
Ray-Ban Rb3025 Classic Polarized Aviator Sunglasses,Ray-Ban,$,20.997259999999997,4.5,9130.0,2
"Dockers Men's Colton Sunglasses Polarized Navigator, Black, 57mm",Dockers,$,20.997259999999997,4.5,229.0,2
RT100 RIDE YOUR WAY Professional wrap around Frameless Cycling Sunglasses for Men and Women,RT100,$,28.2,4.5,989.0,2
Goodr OG Sunglasses,Goodr,$,20.997259999999997,4.6,6137.0,2
"Ironman Men's Tenacity Sunglasses Wrap, Matte Black Rubberized, 52 mm",IRONMAN,$,20.997259999999997,4.4,586.0,2
FURISHQI Classic Polarized Sunglasses for Men and Women Retro Style Semi Rimless Frame Sun Glasses 100% UV Protection Goggles,FURISHQI,$,21.95,4.5,148.0,2
TOREGE Polarized Sports Sunglasses for Men Women Cycling Running Driving Fishing Glasses TR002,TOREGE,$,20.997259999999997,4.4,12745.0,2
"Under Armour Men's Blitzing Wrap Sunglasses, Shiny Jet Gray, 70mm, 9mm",Under Armour,$,20.997259999999997,4.4,141.0,2
Baililai Unisex Polarized Sunglasses Trendy Sunglasses Men/Women 100% UV blocking 1439S,Baililai,$,20.997259999999997,4.5,393.0,2
BIRCEN Mens Sunglasses Polarized UV Protection: Classic Shades for Men Driving Fishing with Al-Mg Metal Frame,BIRCEN,$,20.997259999999997,4.3,2790.0,1
SHEEN KELLY Retro Rectangular Sunglasses Women Men Square Vintage Chunky Gradual Lens Luxury Gold Eyewear,SHEEN KELLY,$,14.98,4.4,343.0,2
grinderPUNCH - Big XL Wide Frame Extra Large Aviator Sunglasses Oversized 148mm,grinderPUNCH,$,20.997259999999997,4.2,1146.0,1
"Ray-Ban Man Sunglasses Black Frame, Green Classic G-15 Lenses, 59MM",Ray-Ban,$,20.997259999999997,4.5,1086.0,2
ROCKBROS Photochromic Sunglasses Mens Bike Glasses for Sports Cycling Biking Running Fishing Sunglasses UV Protection,ROCKBROS,$,22.99,4.3,1081.0,1
"ROCKBROS Photochromic Sports Sunglasses Mens Cycling Glasses MTB Biking Sunglasses, with Removable Elasctic Band",ROCKBROS,$,20.997259999999997,4.3,532.0,1
Oakley Men's Oo9417 Holbrook XL Square Sunglasses,Oakley,$,20.997259999999997,4.7,7562.0,2
GLINDAR Men's Women's Polarized Aviator Sunglasses Vintage Oversized Square Glasses,GLINDAR,$,20.997259999999997,4.3,853.0,1
Bnus italy made classic sunglasses corning real glass lens w. polarized option,B.N.U.S,$,0.007,4.4,5805.0,2
ATTCL Men's Driving Polarized Sunglasses For Men - Al-Mg Metal Frame Ultra Light,ATTCL,$,20.997259999999997,4.3,3322.0,1
Oakley Men's Oo9213 M Frame 2.0 Industrial Rectangular Sunglasses,Oakley,$,20.997259999999997,4.7,1224.0,2
A｜X ARMANI EXCHANGE Men's Ax4049sf Low Bridge Fit Square Sunglasses,A｜X ARMANI EXCHANGE,$,20.997259999999997,4.3,115.0,1
Ray-Ban RB3478 Rectangular Sunglasses,Ray-Ban,$,20.997259999999997,4.5,1475.0,2
ENTHYI Rimless Star shape Sunglasses Personality Sun Glasses for women/men Party glasses personality pentagram eyewears,ENTHYI,$,20.997259999999997,4.5,1077.0,2
ACBLUCE Mens Aviator Sunglasses 53mm TAC Polarized Lense Military Style Metal Frame with Bayonet Temples,ACBLUCE,$,20.997259999999997,4.2,2172.0,1
Oakley Men's Oo9188 Flak 2.0 XL Rectangular Sunglasses,Oakley,$,20.997259999999997,4.7,2213.0,2
"Polarized Glasses for Men & Women – Night Vision/Sun Glasses With PC, Rubber Frame & REVO Coating Sports Sunglasses",Optix 55,$,20.997259999999997,4.0,665.0,1
Maui Jim Men's Pailolo Polarized Rectangular Sunglasses,Maui Jim,$,20.997259999999997,4.2,45.0,1
Locs Men's Rectangular Hardcore Wrap 63mm Sunglasses (Matte Black Rubberized Finished),Locs,$,20.997259999999997,4.4,483.0,2
"JOOX Polarized Aviator Sunglasses for Women Men, UV400 Protection Lens and Lightweight Metal Pilot Frame",JOOX,$,13.99,4.4,2473.0,2
2020 VentiVenti Men’s Classic Style Square Polarized Sunglasses Plastic Lightweight Eyewear UV Protection For Driving,2020 VentiVenti,$,20.997259999999997,4.3,1103.0,1
DUBERY Mens Oversized Aviator Sunglasses Classic Large Polarized Lens Shades D103,DUBERY,$,20.997259999999997,4.3,1871.0,1
